B_T,Rxy_he2
12.20803,2.99980
12.21094,2.99989
12.21384,2.99999
12.21674,3.00009
12.21965,3.00017
12.22255,3.00026
12.22546,3.00034
12.22836,3.00042
12.23126,3.00048
12.23417,3.00050
12.23707,3.00049
12.23997,3.00046
12.24288,3.00040
12.24578,3.00031
12.24869,3.00021
12.25159,3.00012
12.25449,3.00005
12.25740,3.00003
12.26030,3.00005
12.26320,3.00010
12.26611,3.00019
12.26901,3.00030
12.27191,3.00041
12.27482,3.00050
12.27772,3.00055
12.28063,3.00058
12.28353,3.00055
12.28643,3.00048
12.28934,3.00035
12.29224,3.00019
12.29514,3.00000
12.29805,2.99980
12.30095,2.99958
12.30386,2.99934
12.30676,2.99910
12.30966,2.99885
12.31257,2.99862
12.31547,2.99839
12.31837,2.99817
12.32128,2.99796
12.32418,2.99778
12.32708,2.99762
12.32999,2.99747
12.33289,2.99732
12.33580,2.99718
12.33870,2.99706
12.34160,2.99696
12.34451,2.99689
12.34741,2.99684
12.35031,2.99681
12.35322,2.99679
12.35612,2.99679
12.35902,2.99679
12.36193,2.99680
12.36483,2.99682
12.36774,2.99685
12.37064,2.99688
12.37354,2.99693
12.37645,2.99699
12.37935,2.99708
12.38225,2.99720
12.38516,2.99734
12.38806,2.99751
12.39097,2.99770
12.39387,2.99791
12.39677,2.99812
12.39968,2.99832
12.40258,2.99848
12.40548,2.99861
12.40839,2.99872
12.41129,2.99881
12.41419,2.99888
12.41710,2.99893
12.42000,2.99897
12.42291,2.99901
12.42581,2.99905
12.42871,2.99908
12.43162,2.99910
12.43452,2.99912
12.43742,2.99914
12.44033,2.99917
12.44323,2.99918
12.44614,2.99919
12.44904,2.99918
12.45194,2.99916
12.45485,2.99914
12.45775,2.99911
12.46065,2.99906
12.46356,2.99900
12.46646,2.99893
12.46936,2.99885
12.47227,2.99876
12.47517,2.99865
12.47808,2.99854
12.48098,2.99843
12.48388,2.99833
12.48679,2.99824
12.48969,2.99815
12.49259,2.99809
12.49550,2.99804
12.49840,2.99803
12.50131,2.99804
12.50421,2.99806
12.50711,2.99811
12.51002,2.99818
12.51292,2.99826
12.51582,2.99835
12.51873,2.99845
12.52163,2.99857
12.52453,2.99871
12.52744,2.99889
12.53034,2.99909
12.53325,2.99931
12.53615,2.99955
12.53905,2.99980
12.54196,3.00006
12.54486,3.00031
12.54776,3.00057
12.55067,3.00083
12.55357,3.00108
12.55648,3.00135
12.55938,3.00163
12.56228,3.00193
12.56519,3.00227
12.56809,3.00265
12.57099,3.00307
12.57390,3.00352
12.57680,3.00399
12.57970,3.00447
12.58261,3.00494
12.58551,3.00538
12.58842,3.00581
12.59132,3.00625
12.59422,3.00670
12.59713,3.00717
12.60003,3.00768
12.60293,3.00824
12.60584,3.00886
12.60874,3.00950
12.61164,3.01017
12.61455,3.01084
12.61745,3.01151
12.62036,3.01218
12.62326,3.01284
12.62616,3.01351
12.62907,3.01418
12.63197,3.01487
12.63487,3.01556
12.63778,3.01628
12.64068,3.01703
12.64359,3.01780
12.64649,3.01861
12.64939,3.01945
12.65230,3.02033
12.65520,3.02125
12.65810,3.02219
12.66101,3.02315
12.66391,3.02413
12.66681,3.02512
12.66972,3.02612
12.67262,3.02714
12.67553,3.02817
12.67843,3.02925
12.68133,3.03036
12.68424,3.03152
12.68714,3.03271
12.69004,3.03395
12.69295,3.03523
12.69585,3.03654
12.69876,3.03785
12.70166,3.03917
12.70456,3.04049
12.70747,3.04183
12.71037,3.04317
12.71327,3.04452
12.71618,3.04587
12.71908,3.04724
12.72198,3.04864
12.72489,3.05006
12.72779,3.05149
12.73070,3.05292
12.73360,3.05435
12.73650,3.05578
12.73941,3.05718
12.74231,3.05857
12.74521,3.05994
12.74812,3.06130
12.75102,3.06267
12.75393,3.06405
12.75683,3.06548
12.75973,3.06694
12.76264,3.06844
12.76554,3.06998
12.76844,3.07153
12.77135,3.07307
12.77425,3.07460
12.77715,3.07610
12.78006,3.07756
12.78296,3.07900
12.78587,3.08043
12.78877,3.08185
12.79167,3.08328
12.79458,3.08470
12.79748,3.08612
12.80038,3.08755
12.80329,3.08897
12.80619,3.09033
12.80909,3.09166
12.81200,3.09297
12.81490,3.09428
12.81781,3.09557
12.82071,3.09685
12.82361,3.09813
12.82652,3.09940
12.82942,3.10068
12.83232,3.10194
12.83523,3.10319
12.83813,3.10443
12.84104,3.10566
12.84394,3.10689
12.84684,3.10814
12.84975,3.10940
12.85265,3.11066
12.85555,3.11193
12.85846,3.11316
12.86136,3.11437
12.86426,3.11553
12.86717,3.11664
12.87007,3.11770
12.87298,3.11867
